Decimal   Binary     Hexadecimal   BCD   
72        01001000   48            0111 0010 
73        01001001   49            0111 0011 
74        01001010   4A            0111 0100 
75        01001011   4B            0111 0101 
76        01001100   4C            0111 0110 
77        01001101   4D            0111 0111 
78        01001110   4E            0111 1000 
79        01001111   4F            0111 1001 
80        01010000   50            1000 0000 
81        01010001   51            1000 0001 
82        01010010   52            1000 0010 
83        01010011   53            1000 0011 
84        01010100   54            1000 0100 
85        01010101   55            1000 0101 
86        01010110   56            1000 0110 
87        01010111   57            1000 0111 
88        01011000   58            1000 1000 
89        01011001   59            1000 1001 
90        01011010   5A            1001 0000 
91        01011011   5B            1001 0001 
92        01011100   5C            1001 0010 
93        01011101   5D            1001 0011 
94        01011110   5E            1001 0100 
95        01011111   5F            1001 0101 
96        01100000   60            1001 0110 
97        01100001   61            1001 0111 
98        01100010   62            1001 1000 
99        01100011   63            1001 1001 
100       01100100   64            0001 0000 0000 
101       01100101   65            0001 0000 0001 
102       01100110   66            0001 0000 0010 
103       01100111   67            0001 0000 0011 
104       01101000   68            0001 0000 0100 
105       01101001   69            0001 0000 0101 
106       01101010   6A            0001 0000 0110 
107       01101011   6B            0001 0000 0111 
108       01101100   6C            0001 0000 1000 
109       01101101   6D            0001 0000 1001 
110       01101110   6E            0001 0001 0000 
111       01101111   6F            0001 0001 0001 
112       01110000   70            0001 0001 0010 
113       01110001   71            0001 0001 0011 
114       01110010   72            0001 0001 0100 
115       01110011   73            0001 0001 0101 
116       01110100   74            0001 0001 0110 
117       01110101   75            0001 0001 0111 
118       01110110   76            0001 0001 1000 
119       01110111   77            0001 0001 1001 
120       01111000   78            0001 0010 0000 
121       01111001   79            0001 0010 0001 
122       01111010   7A            0001 0010 0010 
123       01111011   7B            0001 0010 0011 
124       01111100   7C            0001 0010 0100 
125       01111101   7D            0001 0010 0101 
126       01111110   7E            0001 0010 0110 
127       01111111   7F            0001 0010 0111 
128       10000000   80            0001 0010 1000 
129       10000001   81            0001 0010 1001 
130       10000010   82            0001 0011 0000 
131       10000011   83            0001 0011 0001 
132       10000100   84            0001 0011 0010 
133       10000101   85            0001 0011 0011 
134       10000110   86            0001 0011 0100 
135       10000111   87            0001 0011 0101 
136       10001000   88            0001 0011 0110 
137       10001001   89            0001 0011 0111 
138       10001010   8A            0001 0011 1000 
139       10001011   8B            0001 0011 1001 
140       10001100   8C            0001 0100 0000 
141       10001101   8D            0001 0100 0001 
142       10001110   8E            0001 0100 0010 
143       10001111   8F            0001 0100 0011 
144       10010000   90            0001 0100 0100 
145       10010001   91            0001 0100 0101 
146       10010010   92            0001 0100 0110 
147       10010011   93            0001 0100 0111 
148       10010100   94            0001 0100 1000 
149       10010101   95            0001 0100 1001 
150       10010110   96            0001 0101 0000 
151       10010111   97            0001 0101 0001 
152       10011000   98            0001 0101 0010 
153       10011001   99            0001 0101 0011 
154       10011010   9A            0001 0101 0100 
155       10011011   9B            0001 0101 0101 
156       10011100   9C            0001 0101 0110 
157       10011101   9D            0001 0101 0111 
158       10011110   9E            0001 0101 1000 
159       10011111   9F            0001 0101 1001 
160       10100000   A0            0001 0110 0000 
161       10100001   A1            0001 0110 0001 
162       10100010   A2            0001 0110 0010 
163       10100011   A3            0001 0110 0011 
164       10100100   A4            0001 0110 0100 
165       10100101   A5            0001 0110 0101 
166       10100110   A6            0001 0110 0110 
167       10100111   A7            0001 0110 0111 
168       10101000   A8            0001 0110 1000 
169       10101001   A9            0001 0110 1001 
170       10101010   AA            0001 0111 0000 
171       10101011   AB            0001 0111 0001 
172       10101100   AC            0001 0111 0010 
173       10101101   AD            0001 0111 0011 
174       10101110   AE            0001 0111 0100 
175       10101111   AF            0001 0111 0101 
176       10110000   B0            0001 0111 0110 
177       10110001   B1            0001 0111 0111 
178       10110010   B2            0001 0111 1000 
179       10110011   B3            0001 0111 1001 
180       10110100   B4            0001 1000 0000 
181       10110101   B5            0001 1000 0001 
182       10110110   B6            0001 1000 0010 
183       10110111   B7            0001 1000 0011 
184       10111000   B8            0001 1000 0100 
185       10111001   B9            0001 1000 0101 
186       10111010   BA            0001 1000 0110 
187       10111011   BB            0001 1000 0111 
188       10111100   BC            0001 1000 1000 
189       10111101   BD            0001 1000 1001 
190       10111110   BE            0001 1001 0000 
191       10111111   BF            0001 1001 0001 
192       11000000   C0            0001 1001 0010 
193       11000001   C1            0001 1001 0011 
194       11000010   C2            0001 1001 0100 
195       11000011   C3            0001 1001 0101 
196       11000100   C4            0001 1001 0110 
197       11000101   C5            0001 1001 0111 
198       11000110   C6            0001 1001 1000 
199       11000111   C7            0001 1001 1001 
200       11001000   C8            0010 0000 0000 
201       11001001   C9            0010 0000 0001 
202       11001010   CA            0010 0000 0010 
203       11001011   CB            0010 0000 0011 
204       11001100   CC            0010 0000 0100 
205       11001101   CD            0010 0000 0101 
206       11001110   CE            0010 0000 0110 
207       11001111   CF            0010 0000 0111 
208       11010000   D0            0010 0000 1000 
209       11010001   D1            0010 0000 1001 
210       11010010   D2            0010 0001 0000 
211       11010011   D3            0010 0001 0001 
212       11010100   D4            0010 0001 0010 
213       11010101   D5            0010 0001 0011 
214       11010110   D6            0010 0001 0100 
215       11010111   D7            0010 0001 0101 
216       11011000   D8            0010 0001 0110 
217       11011001   D9            0010 0001 0111 
218       11011010   DA            0010 0001 1000 
219       11011011   DB            0010 0001 1001 
220       11011100   DC            0010 0010 0000 
221       11011101   DD            0010 0010 0001 
222       11011110   DE            0010 0010 0010 
223       11011111   DF            0010 0010 0011 
224       11100000   E0            0010 0010 0100 
225       11100001   E1            0010 0010 0101 
226       11100010   E2            0010 0010 0110 
227       11100011   E3            0010 0010 0111 
228       11100100   E4            0010 0010 1000 
229       11100101   E5            0010 0010 1001 
230       11100110   E6            0010 0011 0000 
231       11100111   E7            0010 0011 0001 
232       11101000   E8            0010 0011 0010 
233       11101001   E9            0010 0011 0011 
234       11101010   EA            0010 0011 0100 
235       11101011   EB            0010 0011 0101 
236       11101100   EC            0010 0011 0110 
237       11101101   ED            0010 0011 0111 
238       11101110   EE            0010 0011 1000 
239       11101111   EF            0010 0011 1001 
240       11110000   F0            0010 0100 0000 
241       11110001   F1            0010 0100 0001 
242       11110010   F2            0010 0100 0010 
243       11110011   F3            0010 0100 0011 
244       11110100   F4            0010 0100 0100 
245       11110101   F5            0010 0100 0101 
246       11110110   F6            0010 0100 0110 
247       11110111   F7            0010 0100 0111 
248       11111000   F8            0010 0100 1000 
249       11111001   F9            0010 0100 1001 
250       11111010   FA            0010 0101 0000 
251       11111011   FB            0010 0101 0001 
252       11111100   FC            0010 0101 0010 
253       11111101   FD            0010 0101 0011 
254       11111110   FE            0010 0101 0100 
255       11111111   FF            0010 0101 0101 
